wick_idx,entry,day,mfe_pct,mae_pct,direction
0,E1,0,0.07276576040218644,0.34398359462857064,down
0,E1,1,1.2171727194549018,0.9228186809552187,down
0,E1,2,-0.9443011179466887,1.9034861414301953,down
0,E1,3,-1.7757160812330646,2.421115300654909,down
0,E1,4,-1.2965535489845923,2.4409770457101407,down
0,E1,5,-2.135013560891725,3.1537342065224667,down
0,E1,6,-2.2077793212939114,3.2314612687702713,down
0,E1,7,-2.457498180855992,3.3505325130647794,down
0,E1,8,-3.1471191373950007,4.0087318912482655,down
0,E1,9,-2.813058146457648,3.995501752993333,down
0,E1,10,-2.6989482040087402,3.5043328702785037,down
0,E2,0,1.0256665175390534,1.118473596129306,down
0,E2,1,-1.1399976802372778,2.1010422362512737,down
0,E2,2,-1.9730244734967195,2.6196749018243373,down
0,E2,3,-1.4929330085665509,2.639575152027313,down
0,E2,4,-2.333018508392577,3.3537141058143214,down
0,E2,5,-2.405925336779835,3.4315918543189072,down
0,E2,6,-2.6561283160179574,3.550893937134441,down
0,E2,7,-3.3470862123245757,4.2103693393647115,down
0,E2,8,-3.0123775910921218,4.19711355238522,down
0,E2,9,-2.8980464283938976,3.704992460771158,down
1,E1,0,0.1479355347714504,0.24919604971443982,down
1,E1,1,-0.2813524533165431,1.1190267671511318,down
1,E1,2,0.04342722306462371,1.1061642057103054,down
1,E1,3,0.15436681549186376,0.628641612219175,down
1,E1,4,0.1559746356719671,1.1656535523741838,down
1,E1,5,0.6817318345662341,0.6141712305982266,down
1,E1,6,1.7043054691128896,0.25401951025474984,down
1,E1,7,2.0323007858542628,-0.569184421958909,down
1,E1,8,2.419769371057718,-1.3586241303903612,down
1,E1,9,3.4857702286690153,-1.336114647868896,down
1,E1,10,2.41817762907943,-1.4518777008364463,down
1,E2,0,0.10730644799640589,0.7271213043338934,down
1,E2,1,0.4308273807617061,0.7143085941253782,down
1,E2,2,0.541337006310259,0.2386367276338142,down
1,E2,3,0.5429385950863235,0.7735673788398156,down
1,E2,4,1.066658124859856,0.22422242864921638,down
1,E2,5,2.0852685864377434,-0.13453345718953713,down
1,E2,6,2.4119926967551724,-0.9545469105352568,down
1,E2,7,2.797959575899282,-1.7409269995835877,down
1,E2,8,3.85982895031872,-1.7185047567186678,down
1,E2,9,2.7963740030109925,-1.8338191485954138,down
2,E1,0,0.448614044566696,0.6336264060120839,up
2,E1,1,0.47153593005550304,1.717504134125777,up
2,E1,2,0.35365194754162255,0.630351850942257,up
2,E1,3,1.12153511141674,-0.1801005288406475,up
2,E1,4,1.7813579579874579,-1.1460942744404603,up
2,E1,5,1.9057910506409919,-1.147731551975374,up
2,E1,6,2.211961949670087,-1.7928189007318704,up
2,E1,7,2.4141657252320847,-2.025312310689786,up
2,E1,8,1.9663703194328457,-1.303272917792301,up
2,E1,9,1.8681336673379452,-1.3826808782356779,up
2,E1,10,1.504658054586842,-0.537027031452097,up
2,E2,0,0.09623854108896876,2.084624669689749,up
2,E2,1,-0.021205102273838688,1.0015332920105677,up
2,E2,2,0.7438097412977619,0.19410824389128975,up
2,E2,3,1.40116791178678,-0.7682771669983423,up
2,E2,4,1.5251362020030703,-0.769908328711713,up
2,E2,5,1.8301634424036846,-1.4125860437803939,up
2,E2,6,2.031611914005161,-1.6442110070792486,up
2,E2,7,1.585489185397845,-0.9248686914820855,up
2,E2,8,1.4876194825955054,-1.0039800345806424,up
2,E2,9,1.1255015822268768,-0.16148500962385562,up
3,E1,0,0.20875994069237364,0.24325967297045553,up
3,E1,1,1.8589638979246628,-0.8601999721476141,up
3,E1,2,2.6383653641300566,-1.682809195541365,up
3,E1,3,3.308085600549605,-2.6632929163541057,up
3,E1,4,3.4343851984848044,-2.664954753169041,up
3,E1,5,3.7451486828779976,-3.3197184582541714,up
3,E1,6,3.9503855295227006,-3.555699285975198,up
3,E1,7,3.4958731606374687,-2.82282925058805,up
3,E1,8,3.3961629517412537,-2.9034283361124897,up
3,E1,9,3.0272351788252863,-2.045089621197591,up
3,E1,10,3.5075060183420352,-1.3969732633722214,up
3,E2,0,0.5132830436208586,0.4722859954083299,up
3,E2,1,1.2823876680879058,-0.33945555919974585,up
3,E2,2,1.9432600852738642,-1.3069858970154196,up
3,E2,3,2.06789111183995,-1.308625778943919,up
3,E2,4,2.374549032469665,-1.9547392587733803,up
3,E2,5,2.5770744506395595,-2.187602492620537,up
3,E2,6,2.1285667431944932,-1.4644145621515356,up
3,E2,7,2.0301738274844205,-1.5439488356838436,up
3,E2,8,1.6661200393571798,-0.6969498196129879,up
3,E2,9,2.1400459166940093,-0.05739586749754391,up
4,E1,0,1.9594715958263256,0.0849104358191378,down
4,E1,1,0.08817622181217871,0.8507372511879355,down
4,E1,2,-0.875230646135761,1.5087931287862721,down
4,E1,3,-0.8768635391322814,1.6328929965219379,down
4,E1,4,-1.520223379761934,1.938243986871541,down
4,E1,5,-1.7520941852680425,2.1399062719420026,down
4,E1,6,-1.031988373801873,1.6933100373932506,down
4,E1,7,-1.111183684133189,1.5953364576019307,down
4,E1,8,-0.26779445142959557,1.2328342123740743,down
4,E1,9,0.3690338172139565,1.7047402883689122,down
4,E1,10,-0.7037768815009648,1.3716301170784242,down
4,E2,0,0.013072963477414972,0.9265462864613055,down
4,E2,1,-0.9510580929814423,1.5850968216357433,down
4,E2,2,-0.9526922134161169,1.7092899746711205,down
4,E2,3,-1.5965356646784838,2.01487049595554,down
4,E2,4,-1.828580766402474,2.2166843696380325,down
4,E2,5,-1.1079336547103475,1.7697524307541346,down
4,E2,6,-1.1871884957921375,1.6717052046735688,down
4,E2,7,-0.3431652912819526,1.308930468175503,down
4,E2,8,0.29414167824169757,1.7811912737968751,down
4,E2,9,-0.7794754473404659,1.447830705122951,down
5,E1,0,0.06084625631074422,0.5245933990034273,down
5,E1,1,-0.6216185104178613,1.5672022233550909,down
5,E1,2,-1.5918696245621453,2.229933069118049,down
5,E1,3,-1.5935141179759478,2.354914568567142,down
5,E1,4,-2.2414445230146844,2.662434836948468,down
5,E1,5,-2.4749625877748285,2.8655297735532494,down
5,E1,6,-1.7497409922873235,2.4157608248778866,down
5,E1,7,-1.8294989228568137,2.31709122004965,down
5,E1,8,-0.9801180746270984,1.9520136821852034,down
5,E1,9,-0.3387656432435898,2.427272278774522,down
5,E1,10,-1.4191978161127456,2.0917956223585183,down
5,E2,0,0.013072963477414972,0.9265462864613055,down
5,E2,1,-0.9510580929814423,1.5850968216357433,down
5,E2,2,-0.9526922134161169,1.7092899746711205,down
5,E2,3,-1.5965356646784838,2.01487049595554,down
5,E2,4,-1.828580766402474,2.2166843696380325,down
5,E2,5,-1.1079336547103475,1.7697524307541346,down
5,E2,6,-1.1871884957921375,1.6717052046735688,down
5,E2,7,-0.3431652912819526,1.308930468175503,down
5,E2,8,0.29414167824169757,1.7811912737968751,down
5,E2,9,-0.7794754473404659,1.447830705122951,down
6,E1,0,0.41887719102370247,1.153616215539022,up
6,E1,1,0.8813752517774514,-0.2517287690670902,up
6,E1,2,1.0047080679784488,-0.25335156928025976,up
6,E1,3,1.3081717078414332,-0.8927348532696567,up
6,E1,4,1.5085875341680584,-1.1231724835399373,up
6,E1,5,1.0647516758657778,-0.40751758953151557,up
6,E1,6,0.9673836630755119,-0.48622339987031304,up
6,E1,7,0.6071220157515559,0.35195291023253966,up
6,E1,8,1.0761112773579833,0.98484499336924,up
6,E1,9,0.7450600338710793,-0.08133474668413879,up
6,E1,10,1.2661898663267024,-0.37668438548125704,up
6,E2,0,0.04828196668543567,0.5761648024462929,up
6,E2,1,0.17059628228855642,0.5745554035567796,up
6,E2,2,0.47155387462781845,-0.05954775891204708,up
6,E2,3,0.6703146374828942,-0.2880824012231373,up
6,E2,4,0.23014404120060353,0.42166250905286945,up
6,E2,5,0.13358010782971388,0.34360666291140113,up
6,E2,6,-0.2237064456425503,1.1748611893457903,up
6,E2,7,0.24140983342721495,1.8025267562565455,up
6,E2,8,-0.08690754003380982,0.745151685845336,up
6,E2,9,0.4299187253560753,0.4522410879536588,up
7,E1,0,0.1523747771113537,0.30799157075700717,down
7,E1,1,-0.14102771924136887,0.7699789268925272,down
7,E1,2,-0.14264872750850957,0.89317555519533,down
7,E1,3,-0.7813259847625305,1.1963041011509152,down
7,E1,4,-1.0115091586967109,1.3964986221429745,down
7,E1,5,-0.29664451288702237,0.9531528610795907,down
7,E1,6,-0.37526341384341944,0.8558923650510574,down
7,E1,7,0.46198735613552,0.49602852974551126,down
7,E1,8,1.0941805803209597,0.9644999189495941,down
7,E1,9,0.029178148808550818,0.6338142324525804,down
7,E1,10,-0.2658453558113124,1.1543686172799514,down
7,E2,0,0.5761648024462929,0.04828196668543567,down
7,E2,1,0.5745554035567796,0.17059628228855642,down
7,E2,2,-0.05954775891204708,0.47155387462781845,down
7,E2,3,-0.2880824012231373,0.6703146374828942,down
7,E2,4,0.42166250905286945,0.23014404120060353,down
7,E2,5,0.34360666291140113,0.13358010782971388,down
7,E2,6,1.1748611893457903,-0.2237064456425503,down
7,E2,7,1.8025267562565455,0.24140983342721495,down
7,E2,8,0.745151685845336,-0.08690754003380982,down
7,E2,9,0.4522410879536588,0.4299187253560753,down
8,E1,0,0.3865215866133033,0.35653791105889016,up
8,E1,1,1.3843443406302176,-0.7164073416238077,up
8,E1,2,1.9087810362070787,-1.0136311406926704,up
8,E1,3,2.5487430699495013,-1.6701364551195186,up
8,E1,4,1.8105828656685485,-0.8927819037086214,up
8,E1,5,2.540577580964082,-1.0985522261409166,up
8,E1,6,2.6965384205853926,-1.6211435212070742,up
8,E1,7,2.798607032903,-1.8554930550883106,up
8,E1,8,1.8154821590598078,-0.36365821745414295,up
8,E1,9,2.8851612161483264,-1.3745457538477361,up
8,E1,10,2.2449868796922994,-1.0691564657934538,up
8,E2,0,0.2405864496544428,0.41981528127624207,up
8,E2,1,0.7591067622553681,0.12594458438288547,up
8,E2,2,1.3918491248466065,-0.5231544274365263,up
8,E2,3,0.6620164050894382,0.2454304721307394,up
8,E2,4,1.3837757540528217,0.04198152812764073,up
8,E2,5,1.5379771362139083,-0.4747142026738908,up
8,E2,6,1.638894271136081,-0.7064199444552088,up
8,E2,7,0.6668604275657164,0.7685848995672842,up
8,E2,8,1.724472001550079,-0.23089840470192305,up
8,E2,9,1.0915197313182186,0.07104566298521839,up
9,E1,0,4.034430541165228,0.03188013070852503,down
9,E1,1,1.5222762413326003,-0.6264445684227407,down
9,E1,2,1.3214314178688256,0.08607635291304114,down
9,E1,3,0.8113493265322439,0.23830397704630663,down
9,E1,4,0.5826093886984893,0.3379293855104813,down
9,E1,5,2.0387343588108835,-0.6216625488164466,down
9,E1,6,1.0520443133816884,0.42241173188809716,down
9,E1,7,1.3501235355064998,-0.2024388299992001,down
9,E1,8,3.2358332669164054,-1.959831035307256,down
9,E1,9,3.1061608352594208,-1.1046465290507792,down
9,E1,10,1.525464254403451,-0.7794691958237007,down
9,E2,0,0.8394459335826554,0.0625973067107501,down
9,E2,1,0.6372084811325341,0.7800587451647616,down
9,E2,2,0.12358955427507212,0.9333418936487897,down
9,E2,3,-0.10673643323757723,1.0336580903006365,down
9,E2,4,1.3594850970258299,0.0674124841500526,down
9,E2,5,0.36595348538593214,1.1187262250613978,down
9,E2,6,0.6660995457682579,0.48954303966102247,down
9,E2,7,2.5648845159944176,-1.2800346692775666,down
9,E2,8,2.4343129544323596,-0.4189204372181137,down
9,E2,9,0.8426560518755116,-0.0914883713464739,down
10,E1,0,0.35649558797965614,0.49903630842220603,down
10,E1,1,1.8159323524299342,-0.395637570167978,down
10,E1,2,0.8269981902025454,0.6508113413973362,down
10,E1,3,1.1257553603746302,0.02453962638420376,down
10,E1,4,3.015753928896431,-1.7368495720902641,down
10,E1,5,2.8857865717119298,-0.8797200437623314,down
10,E1,6,1.3014948722405657,-0.5538031308473181,down
10,E1,7,1.1625008946738733,-0.0841153209067299,down
10,E1,8,0.6081226163331568,0.2689773110704501,down
10,E1,9,-0.22584124906699699,0.9771596149323665,down
10,E1,10,-0.939982720013088,1.7052484125929308,down
10,E2,0,1.2342504499871534,0.1944587297505844,down
10,E2,1,0.23945744407302796,1.247107225507841,down
10,E2,2,0.5399845718693773,0.6171252249935767,down
10,E2,3,2.441180251992809,-1.154699151452825,down
10,E2,4,2.3104429159166826,-0.2924916430959196,down
10,E2,5,0.7167652352789978,0.03535613268192776,down
10,E2,6,0.5769478014913911,0.5078265620982246,down
10,E2,7,0.019285163281049844,0.8630110568269486,down
10,E2,8,-0.8196194394445908,1.5753889174594946,down
10,E2,9,-1.5379917716636564,2.307791205965546,down
11,E1,0,1.50112704426646,0.12789154796733462,down
11,E1,1,1.0630984924783748,0.08792543922754596,down
11,E1,2,2.954294758045181,-1.6745799561971486,down
11,E1,3,2.824245040205894,-0.8169072626412823,down
11,E1,4,1.2389493709334485,-0.4907838153245946,down
11,E1,5,1.0998673125189833,-0.02079836298818128,down
11,E1,6,0.5451377232107123,0.3325180247150482,down
11,E1,7,-0.28935462727607936,1.0411491055584856,down
11,E1,8,-1.0039486515434868,1.76969929499785,down
11,E1,9,1.1606157978034612,1.3012965005675166,down
11,E1,10,0.9963550908829247,0.43579044969865544,down
11,E2,0,1.0583533173461237,0.09272581934453093,down
11,E2,1,2.9496402877697916,-1.6698641087130377,down
11,E2,2,2.8195843325339656,-0.8121502797761856,down
11,E2,3,1.2342126298960876,-0.48601119104715645,down
11,E2,4,1.0951239008793003,-0.016003197442045987,down
11,E2,5,0.540367705835331,0.3373301358912892,down
11,E2,6,-0.2941646682653928,1.0459952038369253,down
11,E2,7,-1.0087929656274892,1.7745803357314187,down
11,E2,8,1.1558752997601947,1.306155075939242,down
11,E2,9,0.9916067146282952,0.44060751398880443,down
12,E1,0,0.30034370884327594,0.05460794706241878,down
12,E1,1,0.6006874176865519,0.5557161671645685,down
12,E1,2,2.50072275224054,-1.215026822138713,down
12,E1,3,2.3700652083132505,-0.35334553981562516,down
12,E1,4,0.7773601875943644,-0.02569785744113073,down
12,E1,5,0.6376280877581875,0.4464842118788342,down
12,E1,6,0.08030580450354952,0.8014519289454257,down
12,E1,7,-0.7580867945135118,1.5133950081911862,down
12,E1,8,-1.4760206867752306,2.2453502939192473,down
