date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2024-05-13,SLV,25.8,15222898.0,,,,66.03,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-05-14,SLV,26.13,20065027.0,,,,72.18,,,,,,,,,,,,,50.0,50.0,17.5,50.0,45.125
2024-05-15,SLV,27.12,39872396.0,22052431.0,26039500.0,1.0,55.7,,,,,,,,,,,,,50.0,50.0,43.33333333333333,50.0,49.0
2024-05-16,SLV,27.06,19821317.0,22052431.0,26039500.0,1.0,52.66,,,,,,,,,,,,,50.0,50.0,48.75,50.0,49.8125
2024-05-17,SLV,28.79,52364096.0,22052431.0,26039500.0,1.0,61.0,,,,,,,,,,,,,50.0,50.0,26.0,50.0,46.4
2024-05-20,SLV,28.98,58184710.0,22052431.0,26039500.0,1.0,61.9,,,,,,,,,,,,,50.0,50.0,21.666666666666664,50.0,45.75
2024-05-21,SLV,29.27,30700263.0,22052431.0,26039500.0,1.0,49.92,,,,,,,,,,,,,50.0,50.0,55.714285714285715,50.0,50.85714285714286
2024-05-22,SLV,28.22,48609703.0,22052431.0,26039500.0,1.0,46.14,,,,,,,,,,,,,50.0,50.0,56.875,50.0,51.03125
2024-05-23,SLV,27.55,39911249.0,22052431.0,26039500.0,1.0,41.58,,,,,,,,,,,,,50.0,50.0,57.77777777777778,50.0,51.166666666666664
2024-05-24,SLV,27.74,14534572.0,22052431.0,26039500.0,1.0,55.84,,,,,,,,,,,,,50.0,50.0,26.0,50.0,46.4
2024-05-28,SLV,29.24,31041747.0,22052431.0,26039500.0,1.0,43.84,,,,,,,,,,,,,50.0,50.0,53.18181818181818,50.0,50.47727272727273
2024-05-29,SLV,29.17,20708374.0,22052431.0,26039500.0,1.0,48.54,,,,,,,,,,,,,50.0,50.0,43.33333333333333,50.0,49.0
2024-05-30,SLV,28.42,22268883.0,22052431.0,26039500.0,1.0,62.38,,,,,,,,,,,,,50.0,50.0,10.000000000000002,50.0,44.0
2024-05-31,SLV,27.76,31957555.0,25049078.0,33676952.0,1.0,70.75,,,,,,,,,,,,,50.0,50.0,4.642857142857141,50.0,43.19642857142857
2024-06-03,SLV,27.89,18017950.0,25049078.0,33676952.0,1.0,69.32,,,,,62.137049941928,,,,,,,,53.034262485482,50.0,8.666666666666664,50.0,45.1654181184669
2024-06-04,SLV,27.02,28858394.0,25049078.0,33676952.0,1.0,62.68,,,,,54.86338797814208,,,,,,,,51.21584699453552,50.0,16.25,50.0,45.48463114754098
2024-06-05,SLV,27.4,17675268.0,25049078.0,33676952.0,1.0,54.47,,,,,51.63934426229507,,,,,,,,50.40983606557377,50.0,38.23529411764706,50.0,48.419720347155256
2024-06-06,SLV,28.53,27649958.0,25049078.0,33676952.0,1.0,73.78,,,,,57.648283038501575,,,,,,,,51.912070759625394,50.0,0.0,50.0,43.36043184183143
2024-06-07,SLV,26.67,43868915.0,25049078.0,33676952.0,1.0,72.15,,,,,39.1170431211499,,,,,,,,47.27926078028747,50.0,6.842105263157896,50.0,42.30198314060305
2024-06-10,SLV,27.12,17099226.0,25049078.0,33676952.0,1.0,74.27,,,,,40.69999999999999,38.040345821325666,-0.024249838094552723,,,,0.5714671569952047,,54.685086455331415,50.0,0.0,50.0,44.60828890489914
2024-06-11,SLV,26.71,13338933.0,25049078.0,33676952.0,1.0,69.69,,,,,37.35177865612648,18.47133757961789,-0.04057184935074254,,,0.03527131782945747,0.44720361194549973,,46.45577905893609,50.0,15.476190476190476,50.0,43.226529147949805
2024-06-12,SLV,27.03,27934783.0,25049078.0,33676952.0,1.0,57.03,,,,,43.66347177848776,13.846153846153836,-0.03064426473488835,,,0.03444316877152698,0.9243526666793863,,42.71073973949373,50.0,35.45454545454545,50.0,44.538014700954
2024-06-13,SLV,26.43,21680284.0,25049078.0,33676952.0,1.0,52.41,,,,,43.99141630901287,0.0,-0.050987432675044686,,,-0.025442477876106206,0.7396559464471546,,28.497854077253216,50.0,48.04347826086957,50.0,40.03055607389438
2024-06-14,SLV,27.01,25973295.0,20984754.0,24273501.0,1.0,79.37,,,,,46.24098867147273,20.42253521126767,-0.030074512972439016,,,-0.0018477457501846484,0.8769160256580562,,47.6658809706851,50.0,0.0,50.0,41.449646436808294
2024-06-17,SLV,26.92,15015951.0,20984754.0,24273501.0,1.0,47.04,,,,,36.024096385542194,17.253521126760635,-0.03004972256251337,,,-0.06495310871830484,0.5410860907804638,,40.486071044742374,50.0,54.6,50.0,46.40873197013407
2024-06-18,SLV,26.96,12033453.0,20984754.0,24273501.0,1.0,56.5,,,,,36.63845223700121,18.661971830985955,-0.025060572089827482,,,-0.0697032436162871,0.47293988432875356,,40.96796315985394,50.0,35.0,50.0,43.68558342193427
2024-06-20,SLV,28.0,22647974.0,20984754.0,24273501.0,1.0,46.65,,,,,47.54672897196261,55.87188612099648,0.014878848837420078,,,-0.04338913563375468,0.9044240068087296,,59.783225201811206,50.0,55.370370370370374,50.0,55.208006896370605
2024-06-21,SLV,26.98,26983546.0,20984754.0,24273501.0,1.0,51.65,,,,,45.62780269058295,19.57295373665484,-0.019889201707383397,,,-0.04394046775336635,1.126190673791509,,47.20296688458723,50.0,46.42857142857143,50.0,48.20562081234997
