date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-06-15,97794,885977463,37707,305290306,34.4580,321417162,77865319,24.2256,13235805,287913026,4141476,32.4967
2026-06-16,79807,697498668,30529,276979958,39.7105,265927107,104067556,39.1339,11158387,264009556,1812015,37.8509
2026-06-17,114708,1078319279,38691,375026747,34.7788,348074880,118801507,34.1310,19459433,353991054,1576260,32.8280
2026-06-18,105782,1318641688,37909,455948868,34.5772,675791214,196098559,29.0176,16904311,437042348,2002209,33.1434
