time,open,high,low,close,volume
2024-09-19,45.1250,45.1250,45.1250,45.1250,0
2024-09-20,45.1250,45.1250,45.1250,45.1250,0
2024-09-23,48.3750,48.3750,48.3750,48.3750,0
2024-09-24,50.0000,50.0000,50.0000,50.0000,0
2024-09-25,47.0750,47.0750,47.0750,47.0750,0
2024-09-26,53.2500,53.2500,53.2500,53.2500,0
2024-09-27,52.0893,52.0893,52.0893,52.0893,0
2024-09-30,46.1562,46.1562,46.1562,46.1562,0
2024-10-01,46.8333,46.8333,46.8333,46.8333,0
2024-10-02,49.3250,49.3250,49.3250,49.3250,0
2024-10-03,48.7045,48.7045,48.7045,48.7045,0
2024-10-04,51.4375,51.4375,51.4375,51.4375,0
2024-10-07,46.2500,46.2500,46.2500,46.2500,0
2024-10-08,45.2857,45.2857,45.2857,45.2857,0
2024-10-09,50.6063,50.6063,50.6063,50.6063,0
2024-10-10,48.7675,48.7675,48.7675,48.7675,0
2024-10-11,47.0816,47.0816,47.0816,47.0816,0
2024-10-14,48.6322,48.6322,48.6322,48.6322,0
2024-10-15,50.5529,50.5529,50.5529,50.5529,0
2024-10-16,57.8881,57.8881,57.8881,57.8881,0
2024-10-17,64.6722,64.6722,64.6722,64.6722,0
2024-10-18,66.3120,66.3120,66.3120,66.3120,0
2024-10-21,60.1805,60.1805,60.1805,60.1805,0
2024-10-22,49.1083,49.1083,49.1083,49.1083,0
2024-10-23,44.9916,44.9916,44.9916,44.9916,0
2024-10-24,55.9647,55.9647,55.9647,55.9647,0
2024-10-25,48.2690,48.2690,48.2690,48.2690,0
2024-10-28,52.3803,52.3803,52.3803,52.3803,0
2024-10-29,51.2861,51.2861,51.2861,51.2861,0
2024-10-30,48.1394,48.1394,48.1394,48.1394,0
2024-10-31,43.5311,43.5311,43.5311,43.5311,0
2024-11-01,42.0735,42.0735,42.0735,42.0735,0
2024-11-04,45.2301,45.2301,45.2301,45.2301,0
2024-11-05,38.7462,38.7462,38.7462,38.7462,0
2024-11-06,51.1816,51.1816,51.1816,51.1816,0
2024-11-07,53.0232,53.0232,53.0232,53.0232,0
2024-11-08,52.9184,52.9184,52.9184,52.9184,0
2024-11-11,56.3226,56.3226,56.3226,56.3226,0
2024-11-12,50.8853,50.8853,50.8853,50.8853,0
2024-11-13,47.3920,47.3920,47.3920,47.3920,0
2024-11-14,50.7848,50.7848,50.7848,50.7848,0
2024-11-15,49.9721,49.9721,49.9721,49.9721,0
2024-11-18,57.8853,57.8853,57.8853,57.8853,0
2024-11-19,60.9110,60.9110,60.9110,60.9110,0
2024-11-20,62.1178,62.1178,62.1178,62.1178,0
2024-11-21,65.2989,65.2989,65.2989,65.2989,0
2024-11-22,66.6321,66.6321,66.6321,66.6321,0
2024-11-25,65.0315,65.0315,65.0315,65.0315,0
2024-11-26,61.1226,61.1226,61.1226,61.1226,0
2024-11-27,60.2641,60.2641,60.2641,60.2641,0
2024-11-29,54.8552,54.8552,54.8552,54.8552,0
2024-12-02,52.7192,52.7192,52.7192,52.7192,0
2024-12-03,52.9326,52.9326,52.9326,52.9326,0
2024-12-04,57.5505,57.5505,57.5505,57.5505,0
2024-12-05,53.7941,53.7941,53.7941,53.7941,0
2024-12-06,55.4330,55.4330,55.4330,55.4330,0
2024-12-09,45.1298,45.1298,45.1298,45.1298,0
2024-12-10,44.1168,44.1168,44.1168,44.1168,0
2024-12-11,61.4347,61.4347,61.4347,61.4347,0
2024-12-12,57.3898,57.3898,57.3898,57.3898,0
2024-12-13,57.7400,57.7400,57.7400,57.7400,0
2024-12-16,60.4396,60.4396,60.4396,60.4396,0
2024-12-17,53.4308,53.4308,53.4308,53.4308,0
2024-12-18,35.4917,35.4917,35.4917,35.4917,0
2024-12-19,39.0896,39.0896,39.0896,39.0896,0
2024-12-20,38.1339,38.1339,38.1339,38.1339,0
2024-12-23,46.6775,46.6775,46.6775,46.6775,0
2024-12-24,51.7588,51.7588,51.7588,51.7588,0
2024-12-26,46.5428,46.5428,46.5428,46.5428,0
2024-12-27,45.4300,45.4300,45.4300,45.4300,0
2024-12-30,43.3801,43.3801,43.3801,43.3801,0
2024-12-31,38.2175,38.2175,38.2175,38.2175,0
2025-01-02,40.2098,40.2098,40.2098,40.2098,0
2025-01-03,50.5533,50.5533,50.5533,50.5533,0
