time,open,high,low,close,volume
2024-06-05,45.1250,45.1250,45.1250,45.1250,0
2024-06-06,45.1250,45.1250,45.1250,45.1250,0
2024-06-07,45.1250,45.1250,45.1250,45.1250,0
2024-06-10,50.0000,50.0000,50.0000,50.0000,0
2024-06-11,49.0250,49.0250,49.0250,49.0250,0
2024-06-12,46.7500,46.7500,46.7500,46.7500,0
2024-06-13,45.1250,45.1250,45.1250,45.1250,0
2024-06-14,42.5000,42.5000,42.5000,42.5000,0
2024-06-17,49.0000,49.0000,49.0000,49.0000,0
2024-06-18,46.4000,46.4000,46.4000,46.4000,0
2024-06-20,45.1591,45.1591,45.1591,45.1591,0
2024-06-21,44.1250,44.1250,44.1250,44.1250,0
2024-06-24,42.5000,42.5000,42.5000,42.5000,0
2024-06-25,42.5000,42.5000,42.5000,42.5000,0
2024-06-26,42.7275,42.7275,42.7275,42.7275,0
2024-06-27,42.7331,42.7331,42.7331,42.7331,0
2024-06-28,45.4066,45.4066,45.4066,45.4066,0
2024-07-01,44.3896,44.3896,44.3896,44.3896,0
2024-07-02,46.1821,46.1821,46.1821,46.1821,0
2024-07-03,52.2673,52.2673,52.2673,52.2673,0
2024-07-05,58.2983,58.2983,58.2983,58.2983,0
2024-07-08,63.9525,63.9525,63.9525,63.9525,0
2024-07-09,59.9153,59.9153,59.9153,59.9153,0
2024-07-10,63.9301,63.9301,63.9301,63.9301,0
2024-07-11,47.3766,47.3766,47.3766,47.3766,0
2024-07-12,50.8727,50.8727,50.8727,50.8727,0
2024-07-15,49.8093,49.8093,49.8093,49.8093,0
2024-07-16,51.8451,51.8451,51.8451,51.8451,0
2024-07-17,33.5527,33.5527,33.5527,33.5527,0
2024-07-18,36.5978,36.5978,36.5978,36.5978,0
2024-07-19,33.0123,33.0123,33.0123,33.0123,0
2024-07-22,41.6977,41.6977,41.6977,41.6977,0
2024-07-23,39.2606,39.2606,39.2606,39.2606,0
2024-07-24,31.6569,31.6569,31.6569,31.6569,0
2024-07-25,32.6133,32.6133,32.6133,32.6133,0
2024-07-26,35.2344,35.2344,35.2344,35.2344,0
2024-07-29,34.7334,34.7334,34.7334,34.7334,0
2024-07-30,30.1950,30.1950,30.1950,30.1950,0
2024-07-31,40.0829,40.0829,40.0829,40.0829,0
2024-08-01,29.1039,29.1039,29.1039,29.1039,0
2024-08-02,29.9340,29.9340,29.9340,29.9340,0
2024-08-05,33.5710,33.5710,33.5710,33.5710,0
2024-08-06,35.3562,35.3562,35.3562,35.3562,0
2024-08-07,36.9474,36.9474,36.9474,36.9474,0
2024-08-08,40.9164,40.9164,40.9164,40.9164,0
2024-08-09,39.9526,39.9526,39.9526,39.9526,0
2024-08-12,41.9200,41.9200,41.9200,41.9200,0
2024-08-13,48.0494,48.0494,48.0494,48.0494,0
2024-08-14,48.9299,48.9299,48.9299,48.9299,0
2024-08-15,57.8961,57.8961,57.8961,57.8961,0
2024-08-16,57.5261,57.5261,57.5261,57.5261,0
