time,open,high,low,close,volume
2025-06-04,43.2900,43.2900,43.2900,43.2900,0
2025-06-05,50.5800,50.5800,50.5800,50.5800,0
2025-06-06,43.9900,43.9900,43.9900,43.9900,0
2025-06-09,62.8700,62.8700,62.8700,62.8700,0
2025-06-10,59.6000,59.6000,59.6000,59.6000,0
2025-06-11,60.7000,60.7000,60.7000,60.7000,0
2025-06-12,52.4200,52.4200,52.4200,52.4200,0
2025-06-13,57.5500,57.5500,57.5500,57.5500,0
2025-06-16,47.5600,47.5600,47.5600,47.5600,0
2025-06-17,50.7000,50.7000,50.7000,50.7000,0
2025-06-18,55.0300,55.0300,55.0300,55.0300,0
2025-06-20,60.9600,60.9600,60.9600,60.9600,0
2025-06-23,49.1100,49.1100,49.1100,49.1100,0
2025-06-24,45.0600,45.0600,45.0600,45.0600,0
2025-06-25,42.7700,42.7700,42.7700,42.7700,0
2025-06-26,38.5500,38.5500,38.5500,38.5500,0
2025-06-27,40.1700,40.1700,40.1700,40.1700,0
2025-06-30,55.5100,55.5100,55.5100,55.5100,0
2025-07-01,55.5800,55.5800,55.5800,55.5800,0
2025-07-02,60.8200,60.8200,60.8200,60.8200,0
2025-07-03,52.6500,52.6500,52.6500,52.6500,0
2025-07-07,51.6700,51.6700,51.6700,51.6700,0
2025-07-08,57.4100,57.4100,57.4100,57.4100,0
2025-07-09,53.8300,53.8300,53.8300,53.8300,0
2025-07-10,57.7200,57.7200,57.7200,57.7200,0
2025-07-11,58.0300,58.0300,58.0300,58.0300,0
2025-07-14,50.5600,50.5600,50.5600,50.5600,0
2025-07-15,49.6400,49.6400,49.6400,49.6400,0
2025-07-16,46.4800,46.4800,46.4800,46.4800,0
2025-07-17,46.5400,46.5400,46.5400,46.5400,0
2025-07-18,47.9900,47.9900,47.9900,47.9900,0
2025-07-21,54.4400,54.4400,54.4400,54.4400,0
2025-07-22,54.2100,54.2100,54.2100,54.2100,0
2025-07-23,63.4800,63.4800,63.4800,63.4800,0
2025-07-24,64.4700,64.4700,64.4700,64.4700,0
2025-07-25,64.1000,64.1000,64.1000,64.1000,0
2025-07-28,61.6100,61.6100,61.6100,61.6100,0
2025-07-29,62.5200,62.5200,62.5200,62.5200,0
2025-07-30,61.9000,61.9000,61.9000,61.9000,0
2025-07-31,59.7300,59.7300,59.7300,59.7300,0
2025-08-01,51.3700,51.3700,51.3700,51.3700,0
2025-08-04,50.8200,50.8200,50.8200,50.8200,0
2025-08-05,50.2600,50.2600,50.2600,50.2600,0
2025-08-06,54.6700,54.6700,54.6700,54.6700,0
2025-08-07,58.3800,58.3800,58.3800,58.3800,0
2025-08-08,44.4000,44.4000,44.4000,44.4000,0
2025-08-11,49.3500,49.3500,49.3500,49.3500,0
2025-08-12,40.5300,40.5300,40.5300,40.5300,0
2025-08-13,46.4300,46.4300,46.4300,46.4300,0
2025-08-14,45.7500,45.7500,45.7500,45.7500,0
2025-08-15,50.7600,50.7600,50.7600,50.7600,0
2025-08-18,47.2900,47.2900,47.2900,47.2900,0
2025-08-19,50.7200,50.7200,50.7200,50.7200,0
2025-08-20,42.2700,42.2700,42.2700,42.2700,0
2025-08-21,50.5900,50.5900,50.5900,50.5900,0
2025-08-22,41.7200,41.7200,41.7200,41.7200,0
2025-08-25,50.5800,50.5800,50.5800,50.5800,0
2025-08-26,47.3200,47.3200,47.3200,47.3200,0
2025-08-27,37.3100,37.3100,37.3100,37.3100,0
2025-08-28,42.6600,42.6600,42.6600,42.6600,0
2025-08-29,40.8200,40.8200,40.8200,40.8200,0
2025-09-02,47.5600,47.5600,47.5600,47.5600,0
2025-09-03,43.3800,43.3800,43.3800,43.3800,0
2025-09-04,55.1300,55.1300,55.1300,55.1300,0
2025-09-05,48.8200,48.8200,48.8200,48.8200,0
2025-09-08,54.0800,54.0800,54.0800,54.0800,0
2025-09-09,52.7800,52.7800,52.7800,52.7800,0
2025-09-10,54.0800,54.0800,54.0800,54.0800,0
2025-09-11,40.6100,40.6100,40.6100,40.6100,0
2025-09-12,44.7000,44.7000,44.7000,44.7000,0
2025-09-15,50.6600,50.6600,50.6600,50.6600,0
2025-09-16,50.9000,50.9000,50.9000,50.9000,0
2025-09-17,47.1300,47.1300,47.1300,47.1300,0
2025-09-18,62.4300,62.4300,62.4300,62.4300,0
2025-09-19,43.4800,43.4800,43.4800,43.4800,0
2025-09-22,30.3000,30.3000,30.3000,30.3000,0
2025-09-23,32.8100,32.8100,32.8100,32.8100,0
2025-09-24,28.8000,28.8000,28.8000,28.8000,0
2025-09-25,35.6900,35.6900,35.6900,35.6900,0
2025-09-26,31.7600,31.7600,31.7600,31.7600,0
2025-09-29,49.7700,49.7700,49.7700,49.7700,0
