Date,Open,High,Low,Close,Volume
05/23/2024,45.1250,45.1250,45.1250,45.1250,0
05/24/2024,45.1250,45.1250,45.1250,45.1250,0
05/28/2024,48.3750,48.3750,48.3750,48.3750,0
05/29/2024,47.5625,47.5625,47.5625,47.5625,0
05/30/2024,45.1250,45.1250,45.1250,45.1250,0
05/31/2024,42.5000,42.5000,42.5000,42.5000,0
06/03/2024,43.8929,43.8929,43.8929,43.8929,0
06/04/2024,44.9375,44.9375,44.9375,44.9375,0
06/05/2024,47.9167,47.9167,47.9167,47.9167,0
06/06/2024,42.5000,42.5000,42.5000,42.5000,0
06/07/2024,43.3864,43.3864,43.3864,43.3864,0
06/10/2024,42.5000,42.5000,42.5000,42.5000,0
06/11/2024,45.5000,45.5000,45.5000,45.5000,0
06/12/2024,48.0714,48.0714,48.0714,48.0714,0
06/13/2024,48.9740,48.9740,48.9740,48.9740,0
06/14/2024,42.0771,42.0771,42.0771,42.0771,0
06/17/2024,48.9571,48.9571,48.9571,48.9571,0
06/18/2024,46.4135,46.4135,46.4135,46.4135,0
06/20/2024,50.4345,50.4345,50.4345,50.4345,0
06/21/2024,49.9101,49.9101,49.9101,49.9101,0
06/24/2024,52.9638,52.9638,52.9638,52.9638,0
06/25/2024,39.8416,39.8416,39.8416,39.8416,0
06/26/2024,40.9416,40.9416,40.9416,40.9416,0
06/27/2024,43.7791,43.7791,43.7791,43.7791,0
06/28/2024,50.2857,50.2857,50.2857,50.2857,0
07/01/2024,52.8276,52.8276,52.8276,52.8276,0
07/02/2024,55.1217,55.1217,55.1217,55.1217,0
07/03/2024,62.7173,62.7173,62.7173,62.7173,0
07/05/2024,62.8307,62.8307,62.8307,62.8307,0
07/08/2024,56.1047,56.1047,56.1047,56.1047,0
07/09/2024,56.0993,56.0993,56.0993,56.0993,0
07/10/2024,56.9734,56.9734,56.9734,56.9734,0
07/11/2024,59.4007,59.4007,59.4007,59.4007,0
07/12/2024,52.5424,52.5424,52.5424,52.5424,0
07/15/2024,56.0420,56.0420,56.0420,56.0420,0
07/16/2024,61.7984,61.7984,61.7984,61.7984,0
07/17/2024,51.6310,51.6310,51.6310,51.6310,0
07/18/2024,51.4979,51.4979,51.4979,51.4979,0
07/19/2024,38.3371,38.3371,38.3371,38.3371,0
07/22/2024,38.6586,38.6586,38.6586,38.6586,0
07/23/2024,47.0213,47.0213,47.0213,47.0213,0
07/24/2024,38.9958,38.9958,38.9958,38.9958,0
07/25/2024,32.9768,32.9768,32.9768,32.9768,0
07/26/2024,36.3158,36.3158,36.3158,36.3158,0
07/29/2024,37.9751,37.9751,37.9751,37.9751,0
07/30/2024,36.3298,36.3298,36.3298,36.3298,0
07/31/2024,46.0642,46.0642,46.0642,46.0642,0
08/01/2024,43.4977,43.4977,43.4977,43.4977,0
08/02/2024,42.2459,42.2459,42.2459,42.2459,0
08/05/2024,38.9078,38.9078,38.9078,38.9078,0
08/06/2024,31.5935,31.5935,31.5935,31.5935,0
08/07/2024,36.7941,36.7941,36.7941,36.7941,0
08/08/2024,46.2922,46.2922,46.2922,46.2922,0
08/09/2024,42.1726,42.1726,42.1726,42.1726,0
08/12/2024,47.9386,47.9386,47.9386,47.9386,0
08/13/2024,50.5586,50.5586,50.5586,50.5586,0
08/14/2024,49.0999,49.0999,49.0999,49.0999,0
08/15/2024,60.7355,60.7355,60.7355,60.7355,0
08/16/2024,59.4992,59.4992,59.4992,59.4992,0
08/19/2024,67.4551,67.4551,67.4551,67.4551,0
08/20/2024,68.4767,68.4767,68.4767,68.4767,0
08/21/2024,68.5175,68.5175,68.5175,68.5175,0
08/22/2024,57.2365,57.2365,57.2365,57.2365,0
08/23/2024,71.6441,71.6441,71.6441,71.6441,0
08/26/2024,66.0090,66.0090,66.0090,66.0090,0
08/27/2024,65.2622,65.2622,65.2622,65.2622,0
