method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2026-03-30T11:06:00-04:00,2026-03-30,11:06,202.17,217.89,201.4701,201.54,129402,0.3121,7.7878,24.95,up,217.89,True,4
trade,2026-03-30T15:20:00-04:00,2026-03-30,15:20,193.88,203.738,193.796,194.0976,87364,0.1122,4.9696,44.3,up,203.738,True,1
trade,2026-03-31T13:17:00-04:00,2026-03-31,13:17,202.8399,221.54,202.238,202.99,53966,0.074,9.1418,123.58,up,221.54,True,3
trade,2026-04-01T09:47:00-04:00,2026-04-01,09:47,208.4993,208.9025,190.865,208,180751,0.2398,8.2281,34.32,down,190.865,False,
trade,2026-04-01T14:10:00-04:00,2026-04-01,14:10,210.6614,210.8009,197.69,210.4842,69787,0.0842,6.0759,72.2,down,197.69,False,
trade,2026-04-02T12:51:00-04:00,2026-04-02,12:51,213.86,213.9599,199.6403,213.7841,54974,0.0355,6.6148,186.35,down,199.6403,False,
trade,2026-04-07T11:24:00-04:00,2026-04-07,11:24,218.03,218.17,196.868,217.62,59589,0.1882,9.5269,50.61,down,196.868,False,
trade,2026-04-07T14:40:00-04:00,2026-04-07,14:40,218.5622,218.5637,215.37,218.32,36945,0.1109,1.3505,12.18,down,215.37,False,
trade,2026-04-08T15:33:00-04:00,2026-04-08,15:33,230.7852,231.0595,207.7,230.82,53098,0.0151,10.0021,663.37,down,207.7,False,
trade,2026-04-09T12:26:00-04:00,2026-04-09,12:26,235.62,241.66,235.44,235.49,22727,0.0552,2.5642,46.46,up,241.66,True,1
trade,2026-04-10T15:08:00-04:00,2026-04-10,15:08,245.3968,245.75,220.27,245.629,34414,0.0946,10.2344,108.21,down,220.27,True,0
trade,2026-04-10T15:48:00-04:00,2026-04-10,15:48,245.44,245.575,231.82,245.524,125129,0.0342,5.5483,162.14,down,231.82,False,
trade,2026-04-13T10:21:00-04:00,2026-04-13,10:21,243.2039,245.555,243.036,243.6685,42110,0.1909,0.7749,4.06,up,245.555,True,0
trade,2026-04-13T15:36:00-04:00,2026-04-13,15:36,246.94,254.24,246.89,246.98,30651,0.0162,2.9397,181.5,up,254.24,True,1
trade,2026-04-16T10:54:00-04:00,2026-04-16,10:54,270.82,271.6403,265.3796,271.162,185588,0.1262,2.0076,15.91,down,265.3796,True,0
trade,2026-04-16T14:38:00-04:00,2026-04-16,14:38,273.2688,273.28,246.3597,272.98,72695,0.1057,9.7466,92.18,down,246.3597,False,
trade,2026-04-16T15:19:00-04:00,2026-04-16,15:19,275.09,278.49,274.4931,275.16,128456,0.0254,1.2104,47.57,up,278.49,True,1
trade,2026-04-17T12:52:00-04:00,2026-04-17,12:52,279.9324,280.02,245.76,279.88,65904,0.0187,12.1898,651.15,down,245.76,False,
trade,2026-04-20T12:55:00-04:00,2026-04-20,12:55,273.64,282.7937,273.25,273.28,56067,0.1316,3.3474,25.43,up,282.7937,True,1
trade,2026-04-23T11:48:00-04:00,2026-04-23,11:48,308.55,308.6099,304.97,308.195,62524,0.1151,1.0458,9.08,down,304.97,True,0
trade,2026-04-27T12:47:00-04:00,2026-04-27,12:47,333.92,334.21,305.41,334.2,45401,0.0838,8.5344,101.82,down,305.41,False,
trade,2026-04-27T13:34:00-04:00,2026-04-27,13:34,335.155,342.47,334.878,335.72,122791,0.1684,2.0123,11.95,up,342.47,True,3
trade,2026-04-28T12:46:00-04:00,2026-04-28,12:46,320.96,321.25,297.3135,320.6768,56558,0.0883,7.2824,82.5,down,297.3135,False,
trade,2026-04-28T15:09:00-04:00,2026-04-28,15:09,326.07,338.085,325.9,326.04,26389,0.0092,3.685,400.5,up,338.085,True,1
trade,2026-04-30T11:34:00-04:00,2026-04-30,11:34,349.9301,350.72,343.11,349.7054,255389,0.0642,1.8854,29.35,down,343.11,True,0
trade,2026-05-01T13:19:00-04:00,2026-05-01,13:19,359.69,359.86,351.87,359.65,54455,0.0111,2.1631,194.5,down,351.87,True,1
trade,2026-05-05T14:13:00-04:00,2026-05-05,14:13,358.2,358.59,335.948,358.17,93877,0.0084,6.2041,740.73,down,335.948,True,0
trade,2026-05-05T14:38:00-04:00,2026-05-05,14:38,357.4,357.7855,331.1897,357.71,46761,0.0867,7.3304,84.55,down,331.1897,False,
