date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-06-04,116801,542212757,50168,189401905,34.9313,167078156,37294098,22.3213,9086014,177704629,2611262,32.7740
2026-06-05,172013,1071710392,63564,429959007,40.1190,445109852,200362694,45.0142,11579593,415379186,3000227,38.7585
2026-06-08,122747,879644534,55339,442911965,50.3512,491052390,283201279,57.6723,51265094,390350801,1296070,44.3760
2026-06-09,130934,1069460777,49876,254081726,23.7579,638705900,95801997,14.9994,9736033,242782992,1562702,22.7014
2026-06-10,123404,779275275,48905,232737018,29.8658,381243867,88368792,23.1791,7951404,223659914,1125701,28.7010
