date,trades,notional_$,dark_trades,dark_notional_$,dark_pct_by_notional,block_notional_$,block_dark_notional_$,block_dark_pct,trf_201_NYSE_$,trf_202_Carteret_$,trf_203_Chicago_$,carteret_pct_of_total
2026-06-16,1556872,14414223216,497554,6031604714,41.8448,4566135317,2349250698,51.4494,236463880,5592508321,202632513,38.7985
2026-06-17,1349235,12558935835,430507,5197334908,41.3836,3532239837,1897026519,53.7061,391045739,4617166238,189122930,36.7640
2026-06-18,1192946,14088871872,349921,5072648237,36.0046,4096007999,1947051542,47.5353,347215408,4575051128,150381701,32.4728
2026-06-19,1,135502571,0,0,0.0000,135502571,0,0.0000,0,0,0,0.0000
2026-06-22,1144186,10950241812,380000,4390679256,40.0966,2861049557,1549470536,54.1574,437149709,3773739636,179789910,34.4626
