method,datetime,date,time_et,open,high,low,close,volume,body_pct,wick_pct,ratio,direction,extreme,touched,days_to_touch
trade,2026-04-20T15:22:00-04:00,2026-04-20,15:22,145.665,154.96,128.835,145.575,44750,0.0618,6.3831,103.28,up,154.96,False,
trade,2026-04-20T15:22:00-04:00,2026-04-20,15:22,145.665,154.96,128.835,145.575,44750,0.0618,11.4957,186.0,down,128.835,False,
trade,2026-04-21T15:16:00-04:00,2026-04-21,15:16,146.735,146.8629,145.89,146.69,43573,0.0307,0.5453,17.78,down,145.89,True,0
trade,2026-04-21T15:22:00-04:00,2026-04-21,15:22,146.93,147.0064,132.3077,146.845,44344,0.0579,9.8969,171.03,down,132.3077,False,
trade,2026-04-22T12:00:00-04:00,2026-04-22,12:00,151.44,151.58,146.88,151.3497,56408,0.0596,2.9523,49.5,down,146.88,True,0
trade,2026-04-22T12:40:00-04:00,2026-04-22,12:40,151.77,151.78,146.7302,151.69,39121,0.0527,3.2688,62.0,down,146.7302,True,0
trade,2026-04-22T15:07:00-04:00,2026-04-22,15:07,152.03,160.84,151.9917,152.17,46876,0.092,5.7002,61.93,up,160.84,False,
trade,2026-04-22T15:16:00-04:00,2026-04-22,15:16,152.235,152.29,145.97,152.14,72253,0.0624,4.0542,64.95,down,145.97,True,1
trade,2026-04-23T10:27:00-04:00,2026-04-23,10:27,144.8826,148.46,144.5479,145.0558,152989,0.1195,2.3482,19.65,up,148.46,True,0
trade,2026-04-23T13:21:00-04:00,2026-04-23,13:21,141.51,153.5,141.4443,141.58,94767,0.0495,8.4214,170.29,up,153.5,False,
trade,2026-04-23T13:38:00-04:00,2026-04-23,13:38,141.17,150.95,141.16,141.3764,126427,0.1461,6.7767,46.38,up,150.95,True,0
trade,2026-04-23T14:26:00-04:00,2026-04-23,14:26,142.12,146.58,141.98,142.08,63549,0.0281,3.1386,111.5,up,146.58,True,0
trade,2026-04-23T15:16:00-04:00,2026-04-23,15:16,142.155,152.62,141.8929,142.3399,78968,0.13,7.2269,55.6,up,152.62,False,
trade,2026-04-23T15:35:00-04:00,2026-04-23,15:35,141.47,147.56,141.278,141.45,87592,0.0141,4.3051,304.5,up,147.56,True,0
trade,2026-04-23T15:52:00-04:00,2026-04-23,15:52,141.39,147.93,141.18,141.3099,215343,0.0567,4.6268,81.65,up,147.93,True,7
trade,2026-04-24T10:32:00-04:00,2026-04-24,10:32,139.015,142.62,138.93,139.2886,181145,0.1966,2.3941,12.18,up,142.62,True,0
trade,2026-04-24T15:16:00-04:00,2026-04-24,15:16,143.29,143.29,141.57,143.205,48873,0.0593,1.1414,19.24,down,141.57,True,1
trade,2026-04-27T10:27:00-04:00,2026-04-27,10:27,144.2997,144.4093,142.7,144.26,66416,0.0275,1.0812,39.29,down,142.7,True,0
trade,2026-04-27T10:58:00-04:00,2026-04-27,10:58,143.97,144.1615,142.7,144.09,46746,0.0833,0.8818,10.58,down,142.7,True,0
trade,2026-04-27T11:41:00-04:00,2026-04-27,11:41,143.7,143.7719,141.77,143.64,24833,0.0418,1.3016,31.17,down,141.77,True,0
trade,2026-04-27T11:47:00-04:00,2026-04-27,11:47,143.23,143.268,141.5,143.03,44376,0.1397,1.069,7.65,down,141.5,True,0
trade,2026-04-27T12:19:00-04:00,2026-04-27,12:19,143.425,143.48,135.7,143.4163,29042,0.0061,5.3802,886.93,down,135.7,True,2
trade,2026-04-27T14:24:00-04:00,2026-04-27,14:24,143.41,155.08,143.34,143.355,27848,0.0384,8.1391,212.18,up,155.08,False,
trade,2026-04-27T14:34:00-04:00,2026-04-27,14:34,142.88,147.56,142.808,142.845,39589,0.0245,3.2759,133.71,up,147.56,True,5
trade,2026-04-28T12:28:00-04:00,2026-04-28,12:28,141.4101,142.75,126.9418,141.56,27787,0.1059,0.8411,7.94,up,142.75,True,0
trade,2026-04-28T12:28:00-04:00,2026-04-28,12:28,141.4101,142.75,126.9418,141.56,27787,0.1059,10.226,96.52,down,126.9418,False,
trade,2026-04-28T14:58:00-04:00,2026-04-28,14:58,141.57,142.75,141.52,141.6355,21401,0.0463,0.7871,17.02,up,142.75,True,0
trade,2026-04-28T15:09:00-04:00,2026-04-28,15:09,141.6362,152.62,141.59,141.6,18525,0.0256,7.7559,303.42,up,152.62,False,
trade,2026-04-28T15:16:00-04:00,2026-04-28,15:16,141.54,143.1,141.515,141.62,40076,0.0565,1.0453,18.5,up,143.1,True,0
trade,2026-04-28T15:42:00-04:00,2026-04-28,15:42,141.5688,148.33,141.495,141.6099,43251,0.029,4.7462,163.51,up,148.33,True,4
trade,2026-04-29T10:47:00-04:00,2026-04-29,10:47,135.9415,148.46,135.61,135.6358,81253,0.2251,9.2191,40.95,up,148.46,True,0
trade,2026-04-29T12:42:00-04:00,2026-04-29,12:42,136.93,138.69,136.7471,137.01,53041,0.0584,1.2265,21.0,up,138.69,True,0
trade,2026-04-29T14:41:00-04:00,2026-04-29,14:41,137.525,146.6126,137.44,137.49,38149,0.0255,6.6088,259.65,up,146.6126,True,0
trade,2026-04-29T15:05:00-04:00,2026-04-29,15:05,138.114,150.07,137.71,138.0191,86195,0.0687,8.6596,125.99,up,150.07,False,
