date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2026-04-01,08:00,pre,down,655.99,656.155,651.55,655.7,35980,300,4.15,0.29,0.633,651.55,4,104,28914908,True,True,GHOST
2026-04-01,08:05,pre,down,655.7,656.05,651.32,655.6,45431,294,4.28,0.1,0.653,651.32,12,121,28151218,True,True,GHOST
2026-04-01,08:10,pre,down,655.64,655.64,650.34,655.31,52624,270,4.97,0.33,0.758,650.34,4,4632,1458,True,True,GHOST
2026-04-01,08:35,pre,down,654.5729,654.75,650.34,653.97,127952,735,3.63,0.6029,0.555,650.34,1,159,233,True,True,PBAR
2026-04-02,08:00,pre,up,644.6,648.4,644.16,644.731,77666,496,3.669,0.131,0.569,648.4,1,47,12449262,True,True,GHOST
2026-04-07,08:00,pre,up,655.69,659.995,655.135,655.25,54864,322,4.305,0.44,0.657,659.995,2,107,9736476,True,True,GHOST
2026-04-13,07:45,pre,down,675.16,675.31,670.53,674.83,269091,526,4.3,0.33,0.637,670.53,1,178962,28,True,False,PBAR
2026-04-13,07:50,pre,down,674.83,674.84,670.53,674.58,408049,333,4.05,0.25,0.6,670.53,2,357924,96021,True,True,GHOST
2026-04-13,08:30,pre,down,675.24,675.68,670.7,675.63,79802,179,4.54,0.39,0.672,670.7,1,50000,971489,True,True,GHOST
2026-04-22,08:20,pre,down,709.41,709.41,704.08,709.4,31774,207,5.32,0.01,0.75,704.08,4,398,359,True,False,GHOST
2026-04-22,16:05,post,down,711.25,711.37,704.0421,711.07,831812,978,7.0279,0.18,0.988,704.0421,1,566098,1,True,False,PBAR
2026-05-20,16:40,post,up,740.11,744.79,739.82,740.0,277288,75,4.68,0.11,0.632,744.79,2,245000,10,True,False,GHOST
2026-05-20,16:50,post,up,739.9,744.79,739.3486,739.44,268972,134,4.89,0.46,0.661,744.79,2,245000,754150,True,True,GHOST
