date,time_et,session,direction,open,high,low,close,volume,trade_count,wick_len,body_len,wick_pct,extreme,prints_at_extreme,prints_at_extreme_size,max_extreme_lag_ms,all_dark,repeat_level,verdict
2025-03-13,16:00,post,up,551.52,559.1292,551.39,552.63,8012816,1933,6.4992,1.11,1.176,559.1292,4,469044,4,True,False,PBAR
2025-03-14,13:40,rth,down,561.42,561.53,551.4917,560.8,288587,1004,9.3083,0.62,1.66,551.4917,1,92500,2,True,False,PBAR
2025-03-19,16:05,post,up,566.86,586.8595,566.8495,567.53,4483772,594,19.3295,0.67,3.406,586.8595,4,600000,45534,True,False,GHOST
2025-03-20,08:00,pre,up,564.14,569.84,563.7625,565.16,89223,266,4.68,1.02,0.828,569.84,13,493,27201218,True,True,GHOST
2025-03-20,13:45,rth,up,565.87,569.3567,565.7231,565.8691,329947,1955,3.4867,0.0009,0.616,569.3567,1,4568,2,True,True,PBAR
2025-03-24,08:00,pre,down,570.74,571.2,563.98,571.01,150939,292,6.76,0.27,1.184,563.98,182,1869,3301736,True,False,not_pbar
2025-04-02,08:00,pre,up,557.53,560.83,556.61,556.85,90369,236,3.3,0.68,0.593,560.83,58,613,20498742,True,False,not_pbar
2025-04-02,17:10,post,up,550.96,564.52,548.99,549.5,1022877,1367,13.56,1.46,2.468,564.52,1,454480,781,True,True,GHOST
2025-04-03,08:00,pre,up,545.35,550.09,544.62,546.12,303736,851,3.97,0.77,0.727,550.09,521,996,28177623,True,False,not_pbar
2025-04-08,08:00,pre,down,518.0,518.66,504.38,517.2,338992,1419,12.82,0.8,2.479,504.38,272,3616,3377657,True,False,not_pbar
2025-04-08,14:30,rth,up,502.44,507.82,502.44,503.58,2451950,13608,4.24,1.14,0.842,507.82,17,1662,2,True,True,PBAR
2025-04-08,16:00,post,down,496.75,497.49,486.2007,496.92,7959409,3481,10.5493,0.17,2.123,486.2007,1,102838,29,True,False,PBAR
2025-04-08,16:15,post,down,496.25,496.75,491.22,495.9,301980,706,4.68,0.35,0.944,491.22,1,200,1575778,True,True,GHOST
2025-04-14,13:00,rth,up,535.6,539.23,535.29,536.44,1230639,7957,2.79,0.84,0.52,539.23,1,100,0,True,True,PBAR
2025-04-14,14:45,rth,down,541.19,541.3,537.09,540.91,471925,2468,3.82,0.28,0.706,537.09,4,670,6516386,True,True,GHOST
